z,VER_127,VER_428,rho,c,T
90.0,0.0,0.0,0.0008839939999999999,205.711,183.2346113490498
90.1,2499999999.999858,1.1054596556203984e-12,0.000861880367185895,205.62594820768672,183.0832813827218
90.2,5000000000.000072,4.247694145873756e-12,0.0008402444121025604,205.54931277084088,182.94692575661182
90.3,7499999999.999928,9.17017134742514e-12,0.0008190806916687986,205.48050853885476,182.82450419020364
90.4,10000000000.000143,1.5623880000217947e-11,0.0007983837628034139,205.41895036112115,182.71497640298142
90.5,12500000000.0,2.336892102215425e-11,0.0007781481824252088,205.36405308703232,182.61730211442898
90.6,14999999999.999857,3.217609577168052e-11,0.000758368507452987,205.31523156598095,182.5304410440304
90.7,17500000000.000072,4.1828490654666086e-11,0.0007390392948055519,205.2719006473595,182.4533529112696
90.8,19999999999.999928,5.212305747285675e-11,0.0007201551014017069,205.23347518056053,182.38499743563065
90.9,22500000000.00014,6.287218891224015e-11,0.0007017104841602552,205.19937001497655,182.3243343365975
91.0,25000000000.0,7.390528857087135e-11,0.0006837,205.169,182.27032333365403
91.1,27499999999.99986,8.507033492707942e-11,0.0006661182058397449,205.14177998502345,182.2219241462843
91.2,30000000000.00007,9.623543865050331e-11,0.0006489596585982933,205.11712481943948,182.17809649397233
91.3,32499999999.99993,1.0729039266009463e-10,0.000632218915194448,205.09444935264045,182.137800096202
91.4,35000000000.000145,1.181482143350678e-10,0.0006158905325470128,205.073168434019,182.09999467245734
91.5,37500000000.0,1.2874667928678062e-10,0.0005999690675747913,205.05269691296766,182.06363994222238
91.6,39999999999.999855,1.3904984610168637e-10,0.0005844490771965862,205.03244963887886,182.027695624981
91.7,42500000000.00007,1.490495714678147e-10,0.0005693251183312013,205.01184146114525,181.99112144021726
91.8,44999999999.99993,1.5876701509970595e-10,0.0005545917478974397,204.9902872291592,181.9528771074151
91.9,47500000000.000145,1.6825413387935274e-10,0.0005402435228141048,204.96720179231326,181.91192234605847
92.0,50000000000.0,1.77595164633481e-10,0.000526275,204.942,181.86721687563144
92.1,63499999999.99923,1.868918150026518e-10,0.0005126795604551253,204.9143658522194,181.81819818797612
92.2,77000000000.00038,1.962032393296225e-10,0.0004994458815042673,204.88505995140136,181.7662148643676
92.3,90499999999.99962,2.0557225105321559e-10,0.00048656146455340913,204.85511205058336,181.71309325843913
92.4,104000000000.00078,2.150357721889329e-10,0.0004740138110085345,204.8255519028028,181.660659723824
92.5,117500000000.0,2.2462195493458342e-10,0.0004617904222756263,204.79740926109693,181.61074061415542
92.6,130999999999.99922,2.3434731301007916e-10,0.00044987879976066814,204.77171387850345,181.56516228306674
92.7,144500000000.0004,2.4421386383236584e-10,0.00043826644486964306,204.74949550805957,181.5257510841912
92.8,157999999999.9996,2.5420628262264605e-10,0.0004269408590085345,204.7317839028028,181.49433337116199
92.9,171500000000.00076,2.642890695389651e-10,0.0004158895435833256,204.7196088157704,181.4727354976124
93.0,185000000000.0,2.7440373092285276e-10,0.0004051,204.714,181.4627838171758
93.1,198499999999.99924,2.8449027584637467e-10,0.0003945614483397541,204.71564760609897,181.46570240714706
93.2,212000000000.00037,2.9456995317646814e-10,0.0003842699833846379,204.72388337495508,181.48030623946786
93.3,225499999999.99963,3.0469297385016097e-10,0.00037422341859191506,204.7376994450261,181.5048080097415
93.4,239000000000.00076,3.149173491725679e-10,0.00036441956741884904,204.75608795476998,181.53742041357148
93.5,252500000000.0,3.253090156974819e-10,0.0003548562433227033,204.7780410426444,181.576356146561
93.6,265999999999.99924,3.3594195735970853e-10,0.0003455312597607413,204.8025508471073,181.61982790431352
93.7,279500000000.00037,3.4689832480807724e-10,0.0003364424301902265,204.82860950661652,181.66604838243236
93.8,292999999999.99963,3.5826855188875645e-10,0.00032758756806842233,204.8552091596298,181.71323027652087
93.9,306500000000.0008,3.7015146922921666e-10,0.0003189644868525923,204.881341944605,181.75958628218245
94.0,320000000000.0,3.826544148739072e-10,0.000310571,204.906,181.80332909502044
94.1,325999999999.99963,3.958701585337093e-10,0.00030240423818585856,204.92842372338484,181.8431117796058
94.2,332000000000.0002,4.0979844753149225e-10,0.0002944586009571812,204.94884654877853,181.8793488763801
94.3,337999999999.9998,4.2439920973914223e-10,0.00028672780507893046,204.96775016931232,181.91289529475247
94.4,344000000000.00037,4.3961214756986874e-10,0.00027920556731606927,204.9856162781176,181.9446059441321
94.5,350000000000.0,4.553553366232383e-10,0.0002718856044335604,205.00292656832545,181.97533573392812
94.6,355999999999.99963,4.715238372723971e-10,0.0002647616331963668,205.02016273306734,182.00593957354968
94.7,362000000000.0002,4.879883197263262e-10,0.0002578273703694511,205.03780646547446,182.037272372406
94.8,367999999999.9998,5.045937030957364e-10,0.0002510765327177761,205.0563394586781,182.07018903990618
94.9,374000000000.00037,5.211578089868226e-10,0.0002445028370063048,205.0762434058095,182.1055444854594
95.0,380000000000.0,5.374700301425756e-10,0.0002381,205.09799999999998,182.14419361847487
95.1,385999999999.99963,5.533380953894918e-10,0.0002318622269168114,205.12197750036182,182.18679020989273
95.2,392000000000.0002,5.68745863586007e-10,0.00022578567678663736,205.14809042993102,182.2331834767775
95.3,397999999999.9998,5.837346618668013e-10,0.0002198669970923631,205.17613987772472,182.28302149772446
95.4,404000000000.00037,5.983594825991591e-10,0.00021410283531687386,205.20592693275998,182.3359523513292
95.5,410000000000.0,6.126896382292387e-10,0.00020848983894305493,205.23725268405377,182.3916241161871
95.6,415999999999.99963,6.268094080036692e-10,0.00020302465545379164,205.26991822062337,182.4496848708937
95.7,422000000000.0002,6.408186763183726e-10,0.00019770393233196925,205.30372463148572,182.5097826940444
95.8,427999999999.9998,6.54833562449106e-10,0.00019252431706047294,205.3384730056579,182.57156566423458
95.9,434000000000.00037,6.689870414208919e-10,0.0001874824571221881,205.37396443215692,182.6346818600598
96.0,440000000000.0,6.834295557762253e-10,0.000182575,205.41000000000003,182.69877936011545
96.1,442499999999.9998,6.982970258930924e-10,0.00017779843814689564,205.44634627516803,182.76344414772242
96.2,445000000000.00006,7.13605354446839e-10,0.0001731486438962694,205.48263173149758,182.82801382510286
96.3,447499999999.99994,7.293338504274998e-10,0.00016862133455161724,205.518450319789,182.89176389920425
96.4,450000000000.0002,7.454555019166418e-10,0.00016421222741643538,205.55339599084277,182.95396987697416
96.5,452500000000.0,7.619366949446732e-10,0.00015991703979421982,205.58706269545937,183.01390726536007
96.6,454999999999.9998,7.787369363405746e-10,0.00015573148898846665,205.61904438443923,183.07085157130965
96.7,457500000000.00006,7.95808580679162e-10,0.00015165129230267205,205.6489350085828,183.12407830177034
96.8,459999999999.99994,8.130965614297101e-10,0.00014767216704033196,205.67632851869047,183.17286296368968
96.9,462500000000.0002,8.305381264084375e-10,0.00014378983050494258,205.70081886556272,183.21648106401517
97.0,465000000000.0,8.480625776359861e-10,0.00014000000000000001,205.72199999999998,183.25420810969445
97.1,467499999999.9998,8.656109087942454e-10,0.00013629894449560597,205.73972339896613,183.2857786545728
97.2,470000000000.00006,8.831995307834105e-10,0.0001326851396282852,205.75487064407898,183.3127634400871
97.3,472499999999.99994,9.008680287561562e-10,0.00012915761270116798,205.7685808431195,183.3371922545719
97.4,475000000000.0002,9.186604407406304e-10,0.00012571539101738477,205.78199310386904,183.36109488636185
97.5,477500000000.0,9.36625370922902e-10,0.0001223575018800659,205.79624653410866,183.38650112379165
97.6,479999999999.9998,9.548161005002425e-10,0.00011908297259234174,205.81248024161965,183.41544075519596
97.7,482500000000.00006,9.732906960618554e-10,0.00011589083045734273,205.83183333418313,183.4499435689093
97.8,484999999999.99994,9.921121154544322e-10,0.00011278010277819916,205.8554449195802,183.49203935326642
97.9,487500000000.0002,1.01134831109065e-09,0.00010974981685804148,205.88445410559208,183.5437578966019
98.0,490000000000.0,1.0310723306595408e-09,0.00010679900000000002,205.92,183.6071289872504
98.1,489500000000.0,1.0513504913527788e-09,0.0001039267038706805,205.96245512896735,183.68281630449707
98.2,489000000000.0,1.0722044821640225e-09,0.00010113207759058995,206.00912569218676,183.76601909142911
98.3,488500000000.0,1.0936432724639755e-09,9.84142946437109e-05,206.0565513077331,183.85057048208424
98.4,488000000000.0,1.1156744289870338e-09,9.577252851402567e-05,206.1012715936812,183.9303036105001
98.5,487500000000.0,1.1383040576469015e-09,9.32059526855167e-05,206.13982616810588,183.99905161071436
98.6,487000000000.0,1.1615367463262617e-09,9.07137406421664e-05,206.1687546490822,184.0506476167648
98.7,486500000000.0,1.1853755086608617e-09,8.82950658679571e-05,206.18459665468484,184.07892476268907
98.8,486000000000.0,1.2098217288380165e-09,8.594910184687136e-05,206.1838918029888,184.07771618252485
98.9,485500000000.0,1.2348751074292289e-09,8.367502206289153e-05,206.16317971206885,184.04085501030985
99.0,485000000000.0,1.2605336082762848e-09,8.147200000000001e-05,206.11899999999997,183.96217438008176
99.1,484500000000.0,1.2867997190695746e-09,7.933881722167213e-05,206.0490360851644,183.83754914172596
99.2,484000000000.0,1.3137003660732594e-09,7.727268760935495e-05,205.95554658717404,183.67102100851815
99.3,483500000000.0,1.3412697503532375e-09,7.527043312398847e-05,205.8419339259483,183.46867340958187
99.4,483000000000.0,1.3695432957886943e-09,7.332887572651265e-05,205.71160052140644,183.23658977404048
99.5,482500000000.0,1.3985576550299985e-09,7.144483737786742e-05,205.56794879346776,182.9808535310174
99.6,482000000000.0,1.4283507148713222e-09,6.961514003899282e-05,205.4143811620517,182.70754810963612
99.7,481500000000.0,1.458961601034399e-09,6.78366056708288e-05,205.25430004707755,182.42275693902005
99.8,481000000000.0,1.4904306823599903e-09,6.610605623431533e-05,205.0911078684647,182.13256344829261
99.9,480500000000.0,1.52279957440382e-09,6.442031369039242e-05,204.92820704613237,181.8430510665772
100.0,480000000000.0,1.5561111424338994e-09,6.27762e-05,204.769,181.56030322299733
100.1,475000000000.00024,1.5904055984950228e-09,6.117099074263101e-05,204.61617153037503,181.2891202402271
100.2,469999999999.9998,1.6257082260874317e-09,5.9603775971990194e-05,204.469535959117,181.0291700151437
100.3,465000000000.0002,1.6620401045095383e-09,5.8074099360335254e-05,204.3281899884739,180.77883733817515
100.4,459999999999.99976,1.6994218520192358e-09,5.658150457992384e-05,204.19123032069334,180.5365069997493
100.5,455000000000.0,1.7378736030324828e-09,5.5125535303013645e-05,204.0577536580231,180.300563790294
100.6,450000000000.00024,1.7774149856572516e-09,5.370573520186235e-05,203.9268567027111,180.06939250023734
100.7,444999999999.9998,1.8180650995697085e-09,5.2321647948727654e-05,203.79763615700497,179.84137792000712
100.8,440000000000.0002,1.8598424942393685e-09,5.097281721586725e-05,203.6691887231526,179.61490484003133
100.9,434999999999.99976,1.9027651475098337e-09,4.96587866755388e-05,203.54061110340166,179.38835805073788
101.0,430000000000.0,1.9468504445416617e-09,4.83791e-05,203.41100000000003,179.16012234255473
101.1,425000000000.00024,1.992118983050083e-09,4.7133220507803786e-05,203.27963879333578,178.92891664101475
101.2,419999999999.9998,2.0386065193671374e-09,4.59202901026842e-05,203.146557576358,178.694796412071
101.3,415000000000.0002,2.0863533329933773e-09,4.473937033467053e-05,203.01197312015648,178.45815125678163
101.4,409999999999.99976,2.135400518081943e-09,4.358952275379204e-05,202.87610219582064,178.21937077620458
101.5,405000000000.0,2.185789979105661e-09,4.2469808910078016e-05,202.73916157443998,177.9788445713979
101.6,400000000000.00024,2.237564426100815e-09,4.1379290353557744e-05,202.60136802710417,177.7369622434197
101.7,394999999999.9999,2.290767369487597e-09,4.031702863426053e-05,202.46293832490272,177.494113393328
101.8,390000000000.0001,2.345443114467419e-09,3.928208530221565e-05,202.32408923892515,177.25068762218092
101.9,384999999999.99976,2.401636754997329e-09,3.8273521907452366e-05,202.18503754026105,177.0070745310364
102.0,380000000000.0,2.4593941673419576e-09,3.72904e-05,202.046,176.7636637209526
102.1,375000000000.00024,2.518762165394064e-09,3.6331877726153784e-05,201.90716129628223,176.52078609958295
102.2,369999999999.9999,2.5797889984615718e-09,3.539749961727293e-05,201.768577735451,176.2785378009627
102.3,365000000000.0001,2.6425238895660857e-09,3.448690680098262e-05,201.6302735309004,176.03695626572264
102.4,359999999999.99976,2.7070168701436734e-09,3.359974040490802e-05,201.49227289602445,175.7960789344933
102.5,355000000000.0,2.7733187718828978e-09,3.2735641556674286e-05,201.354600044217,175.55594324790547
102.6,350000000000.00024,2.8414812181144592e-09,3.1894251383906614e-05,201.21727918887228,175.3165866465899
102.7,344999999999.9999,2.9115566147535988e-09,3.1075211014230174e-05,201.08033454338417,175.07804657117723
102.8,340000000000.0001,2.98359814079658e-09,3.0278161575270145e-05,200.94379032114676,174.8403604622981
102.9,334999999999.99976,3.057659738372612e-09,2.9502744194651693e-05,200.807670735554,174.60356576058328
103.0,330000000000.0,3.1337961023528198e-09,2.87486e-05,200.67199999999997,174.36769990666346
103.1,325000000000.00024,3.21206360509392e-09,2.8015239387581036e-05,200.5367480215354,174.13270798014537
103.2,319999999999.9999,3.2925231876233844e-09,2.7301649828224015e-05,200.40166748183788,173.8981656165399
103.3,315000000000.0001,3.375237709359835e-09,2.6606688061398973e-05,200.26645675624192,173.66355609033423
103.4,309999999999.99976,3.460271025574071e-09,2.5929210826575902e-05,200.1308142200818,173.42836267601515
103.5,305000000000.0,3.5476879759770748e-09,2.5268074863224827e-05,199.99443824869186,173.19206864806978
103.6,300000000000.00024,3.6375543727176526e-09,2.462213691081576e-05,199.85702721740665,172.95415728098513
103.7,294999999999.9999,3.729936987791767e-09,2.3990253708818727e-05,199.71827950156046,172.71411184924818
103.8,290000000000.0001,3.824903539865855e-09,2.3371281996703753e-05,199.5778934764877,172.4714156273459
103.9,284999999999.99976,3.922522680516538e-09,2.2764078513940833e-05,199.43556751752274,172.22555188976534
104.0,280000000000.0,4.0228639798893884e-09,2.2167500000000004e-05,199.29099999999997,171.97600391099348
104.1,276000000000.00024,4.125998889438121e-09,2.158068202352205e-05,199.14399261757617,171.72243287538336
104.2,271999999999.9999,4.232003749312242e-09,2.1003875469830963e-05,198.99476033719733,171.46521160675192
104.3,268000000000.0001,4.340956996902676e-09,2.0437610053421493e-05,198.84362144413203,171.2048908387823
104.4,263999999999.9998,4.4529381954768014e-09,1.988241548878839e-05,198.6908942236486,170.94202130515737
104.5,260000000000.0,4.568028017314245e-09,1.9338821490426418e-05,198.53689696101543,170.67715373956025
104.6,256000000000.0002,4.686308226132054e-09,1.8807357772830325e-05,198.3819479415011,170.410838875674
104.7,251999999999.9999,4.807861658802952e-09,1.8288554050494887e-05,198.22636545037392,170.1436274471815
104.8,248000000000.0001,4.932772206370798e-09,1.7782940037914846e-05,198.0704677729024,169.87607018776586
104.9,243999999999.9998,5.061124794367368e-09,1.7291045449584964e-05,197.91457319435492,169.6087178311101
105.0,240000000000.0,5.1930053624350084e-09,1.6813400000000004e-05,197.759,169.34212111089727
105.1,236000000000.0002,5.3285069882868215e-09,1.635035221833074e-05,197.6039905081599,169.07670005773852
105.2,231999999999.9999,5.467748809434022e-09,1.590152589245211e-05,197.4494831693726,168.8123518899581
